number,x,y,opinion,Q_pos,Q_neg,Q
47,0.43240264537073136,0.052223949013542326,Negative,0.7792375002433282,-0.14343651937462598,0.7792375002433282
48,0.7115981936032674,0.8630116548490873,Positive,0.3867530310674927,-0.24180695598716068,0.3867530310674927
49,0.8880813249502388,0.11031763585173626,Negative,-0.014889841900001366,0.18094506861979598,0.18094506861979598
50,0.8239244112699994,0.5510571728276483,Positive,0.35046597178203726,0.051150984956030196,0.35046597178203726
51,0.8932677744748667,0.45107962661950907,Negative,-0.05361535117308157,0.09214828003762474,0.09214828003762474
52,0.8112105741776814,0.6000732877615584,Positive,0.6233774088439571,-0.0753844457367558,0.6233774088439571
53,0.5706646985654434,0.6272123876484064,Negative,0.7545372512071755,-0.29338702141379674,0.7545372512071755
54,0.2850041483923852,0.7026263887910718,Negative,-0.060315067822299354,0.713107244584646,0.713107244584646
55,0.6539620871366297,0.9856924853520072,Positive,0.5885042723590521,-0.03048227874856213,0.5885042723590521
56,0.6311003972786546,0.7683327821110784,Negative,-0.29541720069716765,-0.15670617852449414,-0.15670617852449414
57,0.1732786281455828,0.4194549868798242,Positive,0.06844410225372313,-0.264869622658768,0.06844410225372313
58,0.2745124401096939,0.5404723441765862,Negative,-0.050381679848100686,0.18380082363511535,0.18380082363511535
59,0.5322318739089698,0.2950874813802876,Positive,0.9361716827152317,0.29575282661553876,0.9361716827152317
60,0.2015610213933251,0.5104911478172927,Negative,0.127077332865004,0.31937716111682457,0.31937716111682457
61,0.8232322742234495,0.7771058266846362,Positive,0.7758314231601857,-0.5052057578417906,0.7758314231601857
62,0.060367353293995674,0.37818393141857465,Negative,0.08426769619516275,0.14348294895213282,0.14348294895213282
63,0.68696302000089,0.5638192989448312,Positive,0.5466998923409623,-0.43451055570007147,0.5466998923409623
64,0.8203283033264929,0.36409680230899066,Positive,0.07980035152160525,0.01195525544386071,0.07980035152160525
65,0.64060488977498,0.39948702925058655,Positive,0.8550277910588371,0.08970456260760674,0.8550277910588371
66,0.5745610100715038,0.3905656242929503,Positive,0.7165017727003185,-0.32599909458892523,0.7165017727003185
67,0.5005618334103586,0.20143448043492895,Positive,0.8079473454303598,-0.18255635653964297,0.8079473454303598
68,0.14471696478347862,0.4029133035572231,Positive,0.10829544997355452,0.0391999689066449,0.10829544997355452
69,0.9632094460881797,0.8217844976050119,Positive,0.7997484267664445,0.12830632514664347,0.7997484267664445
